,output_ID,flooded,alerts,t_EB_rate,risk
166,79140.0,0.0,0.0,0.007255640311802373,low
167,79140.0,0.0,0.0,0.15570761236326686,medium
168,79140.0,0.0,0.0,0.11473460742555439,low
169,79140.0,0.0,0.0,0.4509231275985958,high
170,79150.0,0.07407407407407407,0.07407407407407407,0.04985457858044124,low
171,79150.0,0.016129032258064516,0.03225806451612903,0.016647073251216706,low
172,79150.0,0.0,0.0,0.16537707385234396,medium
173,79150.0,0.125,0.375,0.18604920808388695,medium
174,79150.0,0.0,0.0,0.47452798496773274,high
175,79161.0,0.037037037037037035,0.037037037037037035,0.029250460797573548,low
176,79161.0,0.016129032258064516,0.016129032258064516,0.01493751309141844,low
177,79161.0,0.3333333333333333,0.3333333333333333,0.23024760455958326,medium
178,79161.0,0.125,0.125,0.22536794213026928,medium
179,79161.0,0.0,0.0,0.7414102503499579,high
180,79201.0,0.037037037037037035,0.037037037037037035,0.02853553364128455,low
181,79201.0,0.016129032258064516,0.016129032258064516,0.013945150446909242,low
182,79201.0,0.0,0.0,0.19060024378099127,medium
